# точки;Время в точке, секунды;F;Ua;Ub;Uc;Phi_Ubc;Phi_Uca;Uab;Ubc;Uca;U1;U2;U0;Ia;Ib;Ic;Phi_A;Phi_B;Phi_C;I1;I2;I0;Флаг Пров/Перенапр (1-Провалы/Перенапряжения,5-Потери);длительность;Период повторения;Провал-0/Перенапряжение-1;Коэф.перенапр/глуб провала;Количество провалов/Перенапряжений;В какой фазе делать провал(1=А,2=B,3=C,4-ABC);Uh2;Uh3;Uh4;Uh5;Uh6;Uh7;Uh8;Uh9;Uh10;Uh11;Uh12;Uh13;Uh14;Uh15;Uh16;Uh17;Uh18;Uh19;Uh20;Uh21;Uh22;Uh23;Uh24;Uh25;Uh26;Uh27;Uh28;Uh29;Uh30;Uh31;Uh32;Uh33;Uh34;Uh35;Uh36;Uh37;Uh38;Uh39;Uh40;Uh41;Uh42;Uh43;Uh44;Uh45;Uh46;Uh47;Uh48;Uh49;Uh50;Ih2;Ih3;Ih4;Ih5;Ih6;Ih7;Ih8;Ih9;Ih10;Ih11;Ih12;Ih13;Ih14;Ih15;Ih16;Ih17;Ih18;Ih19;Ih20;Ih21;Ih22;Ih23;Ih24;Ih25;Ih26;Ih27;Ih28;Ih29;Ih30;Ih31;Ih32;Ih33;Ih34;Ih35;Ih36;Ih37;Ih38;Ih39;Ih40;Ih41;Ih42;Ih43;Ih44;Ih45;Ih46;Ih47;Ih48;Ih49;Ih50;Phi_U_2;Phi_U_3;Phi_U_4;Phi_U_5;Phi_U_6;Phi_U_7;Phi_U_8;Phi_U_9;Phi_U_10;Phi_U_11;Phi_U_12;Phi_U_13;Phi_U_14;Phi_U_15;Phi_U_16;Phi_U_17;Phi_U_18;Phi_U_19;Phi_U_20;Phi_U_21;Phi_U_22;Phi_U_23;Phi_U_24;Phi_U_25;Phi_U_26;Phi_U_27;Phi_U_28;Phi_U_29;Phi_U_30;Phi_U_31;Phi_U_32;Phi_U_33;Phi_U_34;Phi_U_35;Phi_U_36;Phi_U_37;Phi_U_38;Phi_U_39;Phi_U_40;Phi_U_41;Phi_U_42;Phi_U_43;Phi_U_44;Phi_U_45;Phi_U_46;Phi_U_47;Phi_U_48;Phi_U_49;Phi_U_50;Phi2;Phi3;Phi4;Phi5;Phi6;Phi7;Phi8;Phi9;Phi10;Phi11;Phi12;Phi13;Phi14;Phi15;Phi16;Phi17;Phi18;Phi19;Phi20;Phi21;Phi22;Phi23;Phi24;Phi25;Phi26;Phi27;Phi28;Phi29;Phi30;Phi31;Phi32;Phi33;Phi34;Phi35;Phi36;Phi37;Phi38;Phi39;Phi40;Phi41;Phi42;Phi43;Phi44;Phi45;Phi46;Phi47;Phi48;Phi49;Phi50;Ui1;Ui2;Ui3;Ui4;Ui5;Ui6;Ui7;Ui8;Ui9;Ui10;Ui11;Ui12;Ui13;Ui14;Ui15;Ui16;Ui17;Ui18;Ui19;Ui20;Ui21;Ui22;Ui23;Ui24;Ui25;Ui26;Ui27;Ui28;Ui29;Ui30;Ui31;Ui32;Ui33;Ui34;Ui35;Ui36;Ui37;Ui38;Ui39;Ui40;Ui41;Ui42;Ui43;Ui44;Ui45;Ui46;Ui47;Ui48;Ui49;Ii1;Ii2;Ii3;Ii4;Ii5;Ii6;Ii7;Ii8;Ii9;Ii10;Ii11;Ii12;Ii13;Ii14;Ii15;Ii16;Ii17;Ii18;Ii19;Ii20;Ii21;Ii22;Ii23;Ii24;Ii25;Ii26;Ii27;Ii28;Ii29;Ii30;Ii31;Ii32;Ii33;Ii34;Ii35;Ii36;Ii37;Ii38;Ii39;Ii40;Ii41;Ii42;Ii43;Ii44;Ii45;Ii46;Ii47;Ii48;Ii49;ДопТочка(все значения устанавливаются в 0)
1;10;49,997;57,735;57,735;57,735;-120;120;100;100;100;57,735;0;0;2,5;2,5;2,5;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;10;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;10;49,997;57,735;57,735;57,735;-120;120;100;100;100;57,735;0;0;2,5;2,5;2,5;0;0;0;2,5;0;0;0;0;0;0;0;0;0;2;5;1;6;0,5;5;0,5;1,5;0,5;3,5;0,2;3;0,2;0,3;0,2;2;0,2;1,5;0,2;0,2;0,2;1,5;0,2;1,5;0,2;0,2;0,2;1,32;0,2;1,25;0,2;0,2;0,2;1,13;0,2;1,08;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0;0;2;5;1;6;0,5;5;0,5;1,5;0,5;3,5;0,2;3;0,2;0,3;0,2;2;0,2;1,5;0,2;0,2;0,2;1,5;0,2;1,5;0,2;0,2;0,2;1,32;0,2;1,25;0,2;0,2;0,2;1,13;0,2;1,08;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-30;-60;-90;-120;-150;180;150;120;90;60;30;0;-30;-60;-90;-120;-150;180;150;120;90;60;30;0;-30;-60;-90;-120;-150;180;150;120;90;60;30;0;-30;-60;-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;10;49,997;57,735;57,735;57,735;-120;120;100;100;100;57,735;0;0;2,5;2,5;2,5;0;0;0;2,5;0;0;1;1;5;1;1,2;1;1;3;7,5;1,5;9;0,75;7,5;0,75;2,25;0,75;5,25;0,3;4,5;0,3;0,45;0,3;3;0,3;2,25;0,3;0,3;0,3;2,25;0,3;2,25;0,3;0,3;0,3;1,92;0,3;1,86;0,3;0,3;0,3;1,7;0,3;1,62;0,3;0,3;0,3;0;0;0;0;0;0;0;0;0;0;3;7,5;1,5;9;0,75;7,5;0,75;2,25;0,75;5,25;0,3;4,5;0,3;0,45;0,3;3;0,3;2,25;0,3;0,3;0,3;2,25;0,3;2,25;0,3;0,3;0,3;1,92;0,3;1,86;0,3;0,3;0,3;1,7;0,3;1,62;0,3;0,3;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;60;90;120;150;180;-150;-120;-90;-60;-30;0;30;60;90;120;150;180;-150;-120;-90;-60;-30;0;30;60;90;120;-150;180;-150;-120;-90;-60;-30;0;30;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;10;49,997;57,735;57,735;57,735;-120;120;100;100;100;57,735;0;0;2,5;2,5;2,5;0;0;0;2,5;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;90;120;150;180;-150;-120;-90;-60;-30;0;30;60;90;120;150;180;-150;-120;-90;-60;-30;0;30;60;90;120;150;180;-150;-120;-90;-60;-30;0;30;60;90;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;10;49,997;57,735;57,735;57,735;-120;120;100;100;100;57,735;0;0;2,5;2,5;2,5;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;7,5;0;0;0;9;0;0;0;0;0;0;0;0;0;0;7,5;0;0;0;0;0;0;0;0;0;5,25;0;0;0;0;0;0;0;0;0;4,5;0;0;0;0;0;0;0;0;0;20;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;-60;0;0;0;0;0;0;0;0;0;-45;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
